ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
28,28,28,27,24,25,28,38,38,38,28
25,25,25,25,24,26,25,38,38,38,25
22,22,22,22,23,32,22,37,37,37,22
28,28,28,27,25,25,28,35,35,35,28
22,22,22,22,25,28,22,38,38,38,22
26,26,26,25,27,18,26,38,38,38,26
24,24,24,24,22,26,24,32,32,32,24
20,20,20,19,21,19,20,36,36,36,20
19,19,19,19,25,16,19,38,38,38,19
23,23,23,24,24,21,23,38,38,38,23
22,22,22,21,22,32,23,37,37,37,22
24,24,24,24,22,26,24,37,37,37,24
28,28,28,27,28,22,28,38,38,38,28
25,25,25,25,29,19,26,38,38,38,25
25,25,25,25,30,24,25,37,37,37,25
22,22,22,22,20,25,22,37,37,37,22
28,28,28,28,27,28,28,38,38,38,28
24,24,24,24,23,22,24,38,38,38,24
22,22,22,24,25,27,22,37,37,37,22
28,28,28,28,30,18,28,37,37,37,28
19,19,19,19,19,25,19,38,38,38,19
24,24,24,24,25,27,24,38,38,38,24
26,26,26,25,26,28,26,32,32,32,26
30,30,30,29,27,23,30,31,31,31,30
22,22,22,22,22,25,22,32,32,32,22
27,27,27,26,24,23,27,31,31,31,27
30,30,30,29,31,30,30,31,31,31,30
32,32,32,33,31,26,32,31,31,31,32
21,21,21,22,26,21,21,32,32,32,21
27,27,27,27,28,24,27,31,31,31,27
26,26,26,26,26,24,26,31,31,31,26
20,20,20,20,21,20,20,31,31,31,20
17,17,17,17,19,29,17,32,32,32,17
29,29,29,29,29,25,29,31,31,31,29
25,25,25,26,27,25,25,31,31,31,25
24,24,24,24,25,23,24,31,31,31,24
25,25,25,25,24,27,25,32,32,32,25
26,26,26,28,26,24,26,31,31,31,26
28,28,28,27,27,24,27,31,31,31,28
30,30,30,29,28,28,31,31,31,31,29
18,18,18,18,18,23,19,32,32,32,18
23,23,23,23,24,24,23,31,31,31,23
23,23,23,23,24,25,23,31,31,31,23
21,21,21,20,19,24,21,31,31,31,21
25,25,25,25,30,27,25,32,32,32,25
20,20,20,24,19,18,20,31,31,31,20
22,22,22,23,24,25,22,31,31,31,22
19,19,19,20,18,23,19,31,31,31,19
27,27,27,28,31,30,27,32,32,32,27
29,29,29,29,30,23,29,31,31,31,29
23,23,23,23,23,28,23,31,31,31,23
34,34,34,31,28,25,34,31,31,31,34
23,23,23,24,23,24,23,32,32,32,23
23,23,23,22,22,24,23,31,31,31,23
27,27,27,27,27,20,27,31,31,31,27
23,23,23,23,25,18,23,31,31,31,23
32,32,32,32,29,30,32,32,32,32,32
29,29,29,30,29,25,29,31,31,31,29
29,29,29,29,30,26,29,31,31,31,29
24,24,24,24,24,24,24,31,31,31,24
25,25,25,25,24,24,25,32,32,32,25
22,22,22,21,26,22,22,31,31,31,22
23,23,23,23,23,25,23,31,31,31,23
26,26,26,27,26,24,26,31,31,31,26
28,28,28,28,26,22,29,28,28,28,28
20,20,20,20,19,24,21,25,25,25,20
26,26,26,26,27,25,26,25,25,25,26
22,22,22,22,23,21,22,25,25,25,22
16,16,16,15,19,20,16,25,25,25,16
22,22,22,21,24,29,22,25,25,25,22
28,28,28,29,29,20,28,25,25,25,28
34,34,34,34,36,35,34,25,25,25,34
25,25,25,25,26,29,25,25,25,25,25
24,24,24,21,22,25,24,25,25,25,24
23,23,23,23,27,24,23,25,25,25,23
24,24,24,25,27,27,24,25,25,25,24
28,28,28,28,28,24,28,25,25,25,28
25,25,25,25,24,29,25,25,25,25,25
27,27,27,27,28,25,27,25,25,25,27
26,26,26,27,26,24,27,25,25,25,26
